comments,value
Namaskaram,POSITIVE
Dhanyavaadalu,POSITIVE
Mana,POSITIVE
Nenu,POSITIVE
Meeku,POSITIVE
Vundhi,POSITIVE
Kaani,POSITIVE
Kothi,POSITIVE
sadinchu,POSITIVE
katha,POSITIVE
pramadam,POSITIVE
andham ga unnav,POSITIVE
chakaga unnav,POSITIVE
susvaagatam,POSITIVE
nenu,POSITIVE
angikarinchu,POSITIVE
mechukuntaru,POSITIVE
salaha,POSITIVE
dadapu,POSITIVE
ellappudu,POSITIVE
kanipisthayi,POSITIVE
sahayam,POSITIVE
hajaru,POSITIVE
sadhana,POSITIVE
prema janta,POSITIVE
cherika,POSITIVE
anubandha,POSITIVE
thodu,POSITIVE
vasthavikarinchu,POSITIVE
prasansaniyamainadi,POSITIVE
prayojanam,POSITIVE
manchidi,POSITIVE
aapyayata,POSITIVE
anubandha,POSITIVE
madhyahnam,POSITIVE
motham,POSITIVE
oppandham,POSITIVE
bhatyam,POSITIVE
pratyamnaya,POSITIVE
aspasthamaina,POSITIVE
kshamapana cheppevadu,POSITIVE
darakhastudaru,POSITIVE
vastushilpi,POSITIVE
sahacharudu,POSITIVE
khagola sastram,POSITIVE
sraddha,POSITIVE
gunam,POSITIVE
adhikaram,POSITIVE
andubatulo,POSITIVE
avagahana,POSITIVE
andamaina,POSITIVE
pravartana,POSITIVE
sitakokachiluka,POSITIVE
kramankanam cheyandi,POSITIVE
abhyarthi,POSITIVE
jarupukuntaru,POSITIVE
savalu,POSITIVE
nammakanga,POSITIVE
gandaragolam,POSITIVE
cetanaina,POSITIVE
mosali,POSITIVE
utsukata,POSITIVE
pramadakaramaina,POSITIVE
rucikaramaina,POSITIVE
prajasvamyam,POSITIVE
adharapadina,POSITIVE
bhinnamainadi,POSITIVE
kastam,POSITIVE
aviskarana,POSITIVE
nijayiti leni,POSITIVE
vaividhyam,POSITIVE
nakili,POSITIVE
chaduvu,POSITIVE
samarthavantamaina,POSITIVE
athyavasara,POSITIVE
parikaralu,POSITIVE
avasaramaina,POSITIVE
erpatu,POSITIVE
parinamam,POSITIVE
adbhutamaina,POSITIVE
kharidaina,POSITIVE
bandhuvulu,POSITIVE
kutumbam,POSITIVE
tandri,POSITIVE
nanna,POSITIVE
nanna garu,POSITIVE
talli,POSITIVE
amma,POSITIVE
bharta,POSITIVE
bharya,POSITIVE
bidda,POSITIVE
koduku,POSITIVE
kuthuru,POSITIVE
sodarudu,POSITIVE
anna,POSITIVE
thammadu,POSITIVE
sodari,POSITIVE
akka,POSITIVE
akkayya,POSITIVE
cellelu,POSITIVE
celle,POSITIVE
menamama,POSITIVE
peddananna,POSITIVE
chinnanna,POSITIVE
mamayya,POSITIVE
menatta,POSITIVE
peddamma,POSITIVE
pinni,POSITIVE
atha,POSITIVE
bava,POSITIVE
vadina,POSITIVE
menalludu,POSITIVE
menakodalu,POSITIVE
thatayya,POSITIVE
nanamma,POSITIVE
bamma,POSITIVE
mama,POSITIVE
ammamma,POSITIVE
manavadu,POSITIVE
manavaralu,POSITIVE
Swagatham,POSITIVE
Dhanyavadalu,POSITIVE
Manchidi,POSITIVE
anandinchandi,POSITIVE
Abhinandanalu,POSITIVE
Nenu ninnu deevisthunnanu,POSITIVE
Nenu ninnu premisthunnanu,POSITIVE
Nenu premalo unnanu,POSITIVE
Nannu kshaminchandi,POSITIVE
Nenu ni sontham,POSITIVE
Miru ela unnaru,POSITIVE
Nenu bagunnanu,POSITIVE
Jagratha,POSITIVE
Nenu ninnu miss avutunnanu,POSITIVE
Miru bagunnaru,POSITIVE
Adi bhayankaramainadi,POSITIVE
Adi chala anyayam,POSITIVE
Adi chala ekkuva,POSITIVE
Malli kaluddam,POSITIVE
Miru kaliga unnara,POSITIVE
emi ibbandhi ledu,POSITIVE
Thondaraga koluko,POSITIVE
Chala bagundhi,POSITIVE
Baga chesaru,POSITIVE
emiti sangathulu,POSITIVE
Nenu mi mata vinalenu,POSITIVE
Nenu apalenu,POSITIVE
Naku telusu,POSITIVE
Manchi alochana,POSITIVE
Adrustam,POSITIVE
miru alasyam ayyaru,POSITIVE
Evaru thadhupari?,POSITIVE
ame evaru?,POSITIVE
Evaru athanu?,POSITIVE
Evaru nirmincharu?,POSITIVE
varu gayapaddaru,POSITIVE
ameku kopam vachindhi,POSITIVE
ame oka upadhyayuralu,POSITIVE
ame digulu ga undi,POSITIVE
ame akarshaniyanga undhi,POSITIVE
ame andanga undhi,POSITIVE
ame edustondhi,POSITIVE
